Trait Type,Trait Value,Count,Percentage,Rarity Tier
Atmosphere,Unicorn,16,0.16%,Legendary
Atmosphere,Firefly,26,0.26%,Legendary
Atmosphere,Get Rich,236,2.36%,Rare
Background,Tender,61,0.61%,Epic
Background,Crypto,70,0.70%,Epic
Background,Pink Money,73,0.73%,Epic
Background,Money,110,1.10%,Epic
Background,Stage,115,1.15%,Epic
Background,Energetic Orange,184,1.84%,Epic
Background,Geometry,188,1.88%,Epic
Background,Pool Party,199,1.99%,Epic
Background,Cyber Crypto,205,2.05%,Rare
Background,Shiny Stage,262,2.62%,Rare
Background,Morning Glow,273,2.73%,Rare
Background,Candlestick,293,2.93%,Rare
Background,Colorful Data,296,2.96%,Rare
Background,Heart,299,2.99%,Rare
Background,Mist Pink,327,3.27%,Rare
Background,Soft Pink,388,3.88%,Rare
Background,Midnight,440,4.40%,Rare
Background,Cyber City,442,4.42%,Rare
Background,Cyber Light Ring,443,4.43%,Rare
Background,Sunset Gradient,451,4.51%,Rare
Background,Code City,505,5.05%,Common
Background,Fresh,520,5.20%,Common
Background,Data,555,5.55%,Common
Background,Coconut Trees Sunset,624,6.24%,Common
Background,Dreamy,670,6.70%,Common
Background,Gallery,973,9.73%,Common
Background,Space,1034,10.34%,Common
Body Accessories,Heart Yoga Mat,7,0.07%,Mythic
Body Accessories,Iridescent Yoga Mat,42,0.42%,Legendary
Body Accessories,Golden Feather Wings,47,0.47%,Legendary
Body Accessories,Mermaid,52,0.52%,Epic
Body Accessories,Wings,52,0.52%,Epic
Cloth,Pink Leopard Bikini,6,0.06%,Mythic
Cloth,Bubble Dress,12,0.12%,Legendary
Cloth,Chinese Ink Style Suit,18,0.18%,Legendary
Cloth,Blue Deep V Neck Dress,19,0.19%,Legendary
Cloth,Golden Rose Dress,21,0.21%,Legendary
Cloth,Golden Rose Nightgown,21,0.21%,Legendary
Cloth,Purple Blazer,21,0.21%,Legendary
Cloth,Rose Jacket,21,0.21%,Legendary
Cloth,Orange Houndstooth Pajamas,22,0.22%,Legendary
Cloth,Lilac Bustier,25,0.25%,Legendary
Cloth,Wave Surf Wear,27,0.27%,Legendary
Cloth,Black Deep V Neck Dress,28,0.28%,Legendary
Cloth,Golden Star Dress,29,0.29%,Legendary
Cloth,Aquamarine Art Deco Nightgown,30,0.30%,Legendary
Cloth,Black Dress,31,0.31%,Legendary
Cloth,Golden One Shoulder Dress with Bow,31,0.31%,Legendary
Cloth,Pink Cardigan with Diamond Buttons,34,0.34%,Legendary
Cloth,Animal Print Pajamas,36,0.36%,Legendary
Cloth,Green Cut Out Dress,36,0.36%,Legendary
Cloth,Red Flower Print Haori,37,0.37%,Legendary
Cloth,Leaf Dress,38,0.38%,Legendary
Cloth,Black Crypto Nightgown,39,0.39%,Legendary
